model_name,seed,best_epoch,best_val_loss,best_val_acc,best_val_f1,final_val_acc,final_val_f1,source_log
resnet50,42,2.0,1.1547,0.5505,0.4603,0.5666,0.4744,log_seed_resnet50_42.txt
resnet50,0,2.0,1.1309,0.5542,0.4407,0.5454,0.4075,log_seed_resnet50_0.txt
resnet50,1,1.0,1.1897,0.505,0.3609,0.5064,0.4048,log_seed_resnet50_1.txt
resnet50,2,1.0,1.0924,0.5293,0.3879,0.5995,0.3848,log_seed_resnet50_2.txt
resnet50,3,3.0,1.22,0.5784,0.3657,0.5945,0.3532,log_seed_resnet50_3.txt
efficientnet_b3,42,1.0,1.1401,0.5004,0.437,0.5317,0.4232,log_seed_eff_42.txt
efficientnet_b3,0,1.0,0.9852,0.5318,0.4036,0.5339,0.4187,log_seed_eff_0.txt
efficientnet_b3,1,2.0,1.1535,0.5178,0.4188,0.5135,0.4002,log_seed_eff_1.txt
efficientnet_b3,2,1.0,0.8599,0.6385,0.3958,0.5826,0.4135,log_seed_efficientnet_b3_2.txt
efficientnet_b3,3,2.0,1.1611,0.524,0.3538,0.5251,0.3232,log_seed_efficientnet_b3_3.txt
